class,image_path,event_path
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand1_a_bot_seg_1_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand1_a_bot_seg_1_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand1_a_bot_seg_2_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand1_a_bot_seg_2_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand1_a_bot_seg_3_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand1_a_bot_seg_3_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand1_a_bot_seg_4_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand1_a_bot_seg_4_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand1_a_bot_seg_5_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand1_a_bot_seg_5_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand1_a_dif_seg_1_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand1_a_dif_seg_1_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand1_a_dif_seg_2_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand1_a_dif_seg_2_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand1_a_dif_seg_3_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand1_a_dif_seg_3_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand1_a_dif_seg_4_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand1_a_dif_seg_4_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand1_a_dif_seg_5_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand1_a_dif_seg_5_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand1_a_left_seg_1_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand1_a_left_seg_1_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand1_a_left_seg_2_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand1_a_left_seg_2_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand1_a_left_seg_3_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand1_a_left_seg_3_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand1_a_left_seg_4_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand1_a_left_seg_4_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand1_a_left_seg_5_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand1_a_left_seg_5_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand1_a_right_seg_1_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand1_a_right_seg_1_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand1_a_right_seg_2_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand1_a_right_seg_2_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand1_a_right_seg_3_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand1_a_right_seg_3_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand1_a_right_seg_4_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand1_a_right_seg_4_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand1_a_right_seg_5_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand1_a_right_seg_5_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand1_a_top_seg_1_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand1_a_top_seg_1_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand1_a_top_seg_2_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand1_a_top_seg_2_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand1_a_top_seg_3_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand1_a_top_seg_3_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand1_a_top_seg_4_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand1_a_top_seg_4_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand1_a_top_seg_5_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand1_a_top_seg_5_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand2_a_bot_seg_1_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand2_a_bot_seg_1_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand2_a_bot_seg_2_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand2_a_bot_seg_2_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand2_a_bot_seg_3_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand2_a_bot_seg_3_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand2_a_bot_seg_4_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand2_a_bot_seg_4_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand2_a_bot_seg_5_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand2_a_bot_seg_5_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand2_a_dif_seg_1_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand2_a_dif_seg_1_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand2_a_dif_seg_2_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand2_a_dif_seg_2_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand2_a_dif_seg_3_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand2_a_dif_seg_3_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand2_a_dif_seg_4_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand2_a_dif_seg_4_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand2_a_dif_seg_5_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand2_a_dif_seg_5_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand2_a_left_seg_1_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand2_a_left_seg_1_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand2_a_left_seg_2_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand2_a_left_seg_2_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand2_a_left_seg_3_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand2_a_left_seg_3_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand2_a_left_seg_4_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand2_a_left_seg_4_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand2_a_left_seg_5_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand2_a_left_seg_5_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand2_a_right_seg_1_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand2_a_right_seg_1_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand2_a_right_seg_2_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand2_a_right_seg_2_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand2_a_right_seg_3_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand2_a_right_seg_3_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand2_a_right_seg_4_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand2_a_right_seg_4_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand2_a_right_seg_5_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand2_a_right_seg_5_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand2_a_top_seg_1_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand2_a_top_seg_1_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand2_a_top_seg_2_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand2_a_top_seg_2_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand2_a_top_seg_3_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand2_a_top_seg_3_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand2_a_top_seg_4_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand2_a_top_seg_4_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand2_a_top_seg_5_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand2_a_top_seg_5_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand3_a_dif_seg_1_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand3_a_dif_seg_1_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand3_a_dif_seg_2_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand3_a_dif_seg_2_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand3_a_dif_seg_3_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand3_a_dif_seg_3_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand3_a_dif_seg_4_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand3_a_dif_seg_4_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand3_a_dif_seg_5_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand3_a_dif_seg_5_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand4_a_bot_seg_1_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand4_a_bot_seg_1_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand4_a_bot_seg_2_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand4_a_bot_seg_2_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand4_a_bot_seg_3_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand4_a_bot_seg_3_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand4_a_bot_seg_4_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand4_a_bot_seg_4_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand4_a_bot_seg_5_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand4_a_bot_seg_5_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand5_a_bot_seg_1_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand5_a_bot_seg_1_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand5_a_bot_seg_2_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand5_a_bot_seg_2_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand5_a_bot_seg_3_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand5_a_bot_seg_3_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand5_a_bot_seg_4_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand5_a_bot_seg_4_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand5_a_bot_seg_5_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand5_a_bot_seg_5_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand5_a_dif_seg_1_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand5_a_dif_seg_1_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand5_a_dif_seg_2_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand5_a_dif_seg_2_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand5_a_dif_seg_3_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand5_a_dif_seg_3_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand5_a_dif_seg_4_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand5_a_dif_seg_4_cropped.mat
a,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/a/hand5_a_dif_seg_5_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/a/hand5_a_dif_seg_5_cropped.mat
b,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/b/hand1_b_bot_seg_1_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/b/hand1_b_bot_seg_1_cropped.mat
b,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/b/hand1_b_bot_seg_2_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/b/hand1_b_bot_seg_2_cropped.mat
b,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/b/hand1_b_bot_seg_3_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/b/hand1_b_bot_seg_3_cropped.mat
b,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/b/hand1_b_bot_seg_4_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/b/hand1_b_bot_seg_4_cropped.mat
b,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/data/asl-data/asl_dataset/b/hand1_b_bot_seg_5_cropped.jpeg,/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan/b/hand1_b_bot_seg_5_cropped.mat
